Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
"MIHŐ Miskolci Hőszolgáltató Kft.|MIVÍZ Miskolci Vízmű Korlátolt Felelősségű Társaság|Miskolci Városgazda Városgazdálkodási Közhasznú Nonprofit Korlátolt Felelősségű Társaság|Miskolci Fürdők Korlátolt Felelősségű Társaság|Miskolci Nemzeti Színház Nonprofit Kft|MVK Miskolc Városi Közlekedési Zártkörűen Működő Részvénytársaság|Miskolc Holding Önkormányzati Vagyonkezelő Zrt.|Miskolci Szimfonikus Zenekar Nonprofit Kft.|MIKOM Miskolci Kommunikációs Nonprofit Kft.|Miskolci Önkormányzati Rendészet|Miskolci Felnőttképző Központ Közhasznú Nonprofit Korlátolt Felelősségű Társaság|REGIHU-HEJŐPAPI Regionális Hulladéklerakó Korlátolt Felelősségű Társaság|MiReHu Miskolci Regionális Hulladékgazdálkodási Nonprofit Korlátolt Felelősségű Társaság|Miskolci Egyesített Szociális, Egészségügyi és Gyermekjóléti Intézmény|MiProdukt Kft.|II.Rákóczi Ferenc Megyei és Városi Könyvtár|Miskolci Sportcentrum Korlátolt Felelősségű Társaság|Miskolci Kulturális Központ Nonprofit Korlátolt Felelősségű Társaság|Herman Ottó Múzeum|Miskolc Városi Szabadidőközpont Nonprofit Kft.",Issuer,11385174205|13546904205|20643522205|14140549205|23862474205|11072315205|13778749205|23834967205|18423121205|15813248105|22198107205|26214973205|24676658205|15825304205|11078139205|15350844205|24364577205|23834936205|15350851205|23981344205,2,0.037931114,0.17548034,-0.44165924,0.44474387,2.0311847,90,0.0,0.03061813540111131,0.0005701991225811772,0.0013477088948787063,0.2826666666666667,0.37043777,1.1920929e-07
"Budapest Főváros XII. kerület Hegyvidéki Önkormányzat|Budapest Főváros XII. kerület Hegyvidéki Önkormányzat Svábhegyi Bölcsőde|Városmajori Óvodák|Táltos Óvoda|Budapest Főváros XII. kerület Hegyvidéki Önkormányzat  Családsegítő és Gyermekjóléti Központ|Budapest Főváros XII. kerület Hegyvidéki Polgármesteri Hivatal|Budapest Főváros XII. kerület Hegyvidéki Önkormányzat Hegyvidéki Szociális Központ|Hegyvidéki Szabadidősport Nonprofit Korlátolt Felelősségű Társaság|Fáber Üzemeltető, Városfejlesztő és -fenntartó Kft.|Normafa Óvoda|Mackós Óvoda|Budapest Főváros XII. kerület Hegyvidéki Önkormányzat Fejlesztő Napközi Otthon|Zugliget Óvoda|MOM Kulturális Központ Nonprofit Korlátolt Felelősségű Társaság|Normafa Park Fenntartó és Üzemeltető intézmény|Budapest Főváros XII. kerület Hegyvidéki Önkormányzat Krisztinavárosi Bölcsőde|Orbánhegyi Óvoda|Kimbi Óvoda|Virányosi Közösségi Ház|Süni Óvodák|Hegyvidék Lapkiadó",Issuer,15735753243|16918638243|16910946243|16911071243|16921630243|15512002243|16918669243|24388153243|10215724243|16910915243|16910898243|16924853243|16911095243|22664503243|15825713243|16911136243|16921568243|16918683243|15512129243|16910881243|16927492243,2,0.020817908,0.16440828,-0.3566748,0.42145684,1.8749197,90,0.0,0.03061813540111131,0.0005701991225811772,0.0013477088948787063,0.2826666666666667,0.38705078,0.0
Veresegyház Város Önkormányzata,Issuer,15730576213,6,0.022492608,0.17773838,-0.36065117,0.55807465,2.026918,37,0.0004657182151924271,0.037337880473303116,0.0008980092467974775,0.0026954177897574125,0.2886036561649164,0.3361763,1.1920929e-07
Opera Vagyonkezelő Korlátolt Felelősségű Társaság,Issuer,26674896242,2,0.026311737,0.16516615,-0.32043773,0.4192772,1.8922044,90,0.0,0.03061813540111131,0.0005701991225811772,0.0013477088948787063,0.2826666666666667,0.38629454,-5.9604645e-08
Észak Pesti Tankerületi Központ,Issuer,15835114242,9,0.041938707,0.16806537,-0.4305787,0.5171138,1.9597493,71,0.0008778260181234883,0.04553791377810833,0.0009381878416481908,0.0026954177897574125,0.29907295445384924,0.36697933,0.0
NYÍRVV Nyíregyházi Városüzemeltető és Vagyonkezelő Nonprofit Kft.|Móricz Zsigmond Szinház Nonprofit Kft|Sóstó-Gyógyfürdők Szolgáltató és Fejlesztő Zrt.|NYÍRTÁVHŐ Nyíregyházi Távhőszolgáltató Korlátolt Felelősségű Társaság|Nyíregyháza Megyei Jogú Város Önkormányzata|Szabolcs-Szatmár-Bereg Megyei Temetkezési Kft|Észak-Alföldi Környezetgazdálkodási NpKft|Nyíregyházi Sportcentrum Nonprofit Korlátolt Felelősségű Társaság|Nyíregyháza Megyei Jogú Város Polgármesteri Hivatala,Issuer,10363315215|24341868215|11256779215|11241256215|15731766215|25551936215|13919867215|21064467215|15402006215,8,-0.019733083,0.20819642,-0.44446138,0.59568036,2.3660302,57,0.0,0.006234808932103612,0.000583592124901998,0.0013477088948787063,0.26777336701551785,0.34060082,-2.3841858e-07
Békéscsaba Megyei Jogú Város Önkormányzata|Penza Lakótelepi és Dr. Becsey Oszkár utcai Óvoda|Százszorszép Művészeti Bázisóvoda|Békéscsabai Gyermekélelmezési Intézmény|Békéscsaba Megyei Jogú Város Polgármesteri Hivatala|Békéscsabai Életfa Idősek Otthona|BÉKÉSCSABAI TÜNDÉRKERT ÓVODA|Békéscsaba Vagyonkezelő Zrt.|Békéscsabai Jókai Színház|Mackó-Kuckó Óvoda|Munkácsy Mihály Múzeum|Hajnal-Lenkey-Jázmin Utcai Általános Művelődési Központ|Békéscsabai Kistérségi Egyesített Szociális Központ|Lencsési Óvoda|Békés Megyei Könyvtár|Békéscsabai Családsegítő és Gyermekjóléti Központ|Szigligeti Utcai és Kazinczy-lakótelepi Óvoda|Csabagyöngye Kulturális Központ|Kölcsey Utcai és Ligeti Sori Óvoda|Békéscsabai Egészségügyi Alapellátrási Intézmény,Issuer,15725369204|16653157104|16653236104|15345431204|15345008204|15826453204|16653212104|11051691204|15342311204|16653195104|15345747204|16654220104|15825294204|15791540104|15342218204|15826460204|15791571104|15771810204|16653133104|16655070204,2,0.025096025,0.1763901,-0.3302684,0.43160298,2.015723,90,0.0,0.03061813540111131,0.0005701991225811772,0.0013477088948787063,0.2826666666666667,0.37547392,1.1920929e-07
Zala Megyei Kormányhivatal|Somogy Megyei Kormányhivatal|Bács-Kiskun Megyei Kormányhivatal|Vas Megyei Kormányhivatal|Fejér Megyei Kormányhivatal|Pest Megyei Kormányhivatal|Nógrád Megyei Kormányhivatal|Budapest Főváros Kormányhivatala|Csongrád-Csanád Megyei Kormányhivatal|Heves Megyei Kormányhivatal|Jász-Nagykun-Szolnok Megyei Kormányhivatal|Szabolcs-Szatmár-Bereg Megyei Kormányhivatal|Tolna Megyei Kormányhivatal|Békés Megyei Kormányhivatal|Győr-Moson-Sopron Megyei Kormányhivatal|Borsod-Abaúj-Zemplén Megyei Kormányhivatal|Veszprém Megyei Kormányhivatal|Hajdú-Bihar Megyei Kormányhivatal|Baranya Megyei Kormányhivatal|Komárom-Esztergom Megyei Kormányhivatal,Issuer,15789422220|15789367214|15789257203|15789408218|15789295207|15789350241|15789343212|15789233241|15789288206|15789329210|15789381213|15789374215|15789398217|15789264204|15789305208|15789271205|15789415219|15789312209|15789240202|15789336211,2,0.027927354,0.16819595,-0.36803988,0.38467258,1.9289727,90,0.0,0.03061813540111131,0.0005701991225811772,0.0013477088948787063,0.2826666666666667,0.39311168,0.0
KALOCSAI VAGYONHASZNOSÍTÁSI és KÖNYVVEZETŐ Nonprofit Korlátolt Felelősségű Társaság,Issuer,23900774203,9,0.03722474,0.16694379,-0.43163165,0.60218483,1.9351373,71,0.0008778260181234883,0.04553791377810833,0.0009381878416481908,0.0026954177897574125,0.29907295445384924,0.3611562,0.0
Kisalföldi Agrárszakképzési Centrum,Issuer,15833002208,6,-0.02508941,0.2112307,-0.5384973,0.61809385,2.4066012,37,0.0006937145507313293,0.011448744047480176,0.0009003766090614108,0.0026954177897574125,0.2707041225829989,0.2977748,0.0
