Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Borsod-Abaúj-Zemplén Megyei Központi Kórház és Egyetemi Oktatókórház,Issuer,15837501205,10,-0.008025528,0.25685957,-0.63869107,0.75697255,2.9074526,37,0.0,0.0030253825859485593,0.001276759530568018,0.002544529262086514,0.2167677881963596,0.39034903,-2.3841858e-07
"Jánosik és Társai Ipari, Szolgáltató és Karbantartó Korlátolt Felelősségű Társaság",Winner,"11066901244,HU 11066901",10,0.0013999371,0.25650924,-0.58040196,0.8017256,2.902114,37,0.13374059688535503,0.026818095675174007,0.028472380973887695,0.06870229007633588,0.2765657987332864,0.37919515,-1.1920929e-07
Biatorbágy Város Önkormányzata,Issuer,15730088213,1,0.0298389,0.24507484,-0.6827846,0.5895925,2.7931812,35,0.0012313469210353412,0.010950704874455186,0.0019635334038119933,0.005089058524173028,0.21393576483396842,0.39569917,-1.7881393e-07
Hajdú-Bihar Megyei Önkormányzat|Hortobágy Község Önkormányzata,Issuer,15728317209|15728647209,7,-0.033799723,0.24236146,-0.63921595,0.5310754,2.7685432,48,0.0,0.005372744441207349,0.0013060558709431728,0.002544529262086514,0.2206625491297024,0.40994495,-1.1920929e-07
Dunakiliti Község Önkormányzata,Issuer,15366894208,3,6.96443e-06,0.2017864,-0.49881092,0.46051234,2.2829525,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44119883,0.0
Bicske Város Önkormányzata|Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,Issuer,15727048207|14605749244,11,0.00516192,0.29590032,-0.6415864,0.6647723,3.348239,25,0.0,0.0018098859802956676,0.0013210811919950965,0.002544529262086514,0.17489986648865152,0.38584918,0.0
ÚTÉPPARK Útépítő és Mélyépítő Kft.,Winner,"24105099207,24105099",11,0.004352588,0.3112832,-0.7168075,0.6855459,3.5221117,25,0.10445197720505567,0.01604379485624799,0.02656026148750493,0.06106870229007634,0.21185983827493263,0.3898084,1.1920929e-07
Mosonmagyaróvár Város Önkormányzata,Issuer,15728032208,6,0.006843193,0.19468063,-0.42230657,0.6463741,2.2039204,25,0.010204883351732844,0.11015138964037674,0.0026995059203947,0.0076335877862595426,0.270474879559532,0.4278624,-5.9604645e-08
Baracs Község Önkormányzata,Issuer,15727103207,3,-0.00545771,0.20450997,-0.47476992,0.543108,2.3145902,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44245613,0.0
Mezőkövesd Város Önkormányzata,Issuer,15726470205,9,-0.00964485,0.2899772,-0.81195647,0.76027715,3.2825317,50,0.02058017863634003,0.0003420571607755104,0.0022570807568749805,0.005089058524173028,0.19049927290353855,0.36168852,1.1920929e-07
D-Gesztor Építő és Acélszerkezet Gyártó Kft,Winner,13416058205,9,-0.026025215,0.29189163,-0.8631512,0.8298432,3.3154771,50,0.23175160717685836,0.0028369052304904495,0.0372237192115543,0.08651399491094149,0.23049853372434018,0.364776,-5.9604645e-08
Nemesvámos Község Önkormányzata,Issuer,15430283119,3,-0.0042758826,0.20847392,-0.47687384,0.47230572,2.3591092,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44778675,2.3841858e-07
Gödöllő Város Önkormányzata,Issuer,15731261213,6,0.0040744063,0.22045192,-0.45049417,0.5847158,2.4945548,25,0.006409320890620352,0.03662266072244268,0.0019429794118683806,0.005089058524173028,0.23746223564954683,0.37890035,1.1920929e-07
Győr Megyei Jogú Város Önkormányzata,Issuer,15735595208,6,0.0016940515,0.19553627,-0.37921476,0.5046639,2.2123232,25,0.025867605834483005,0.1128118975749907,0.003488714308632135,0.010178117048346057,0.279317697228145,0.39650065,-1.7881393e-07
Hungarian Medical & Spa Szolgáltató Korlátolt felelősségű társaság,Issuer,25959901205,9,-0.020455714,0.28559953,-0.8969235,0.7573562,3.2394674,50,0.0,0.0003201592055920191,0.0013109774803642359,0.002544529262086514,0.18741058655221746,0.36524165,-5.9604645e-08
Hajdúböszörmény Város Önkormányzata,Issuer,15728331209,8,-0.017658798,0.22988401,-0.65477365,0.5597561,2.6085029,16,0.005942341474561176,0.0104981068627412,0.0021343603523505447,0.005089058524173028,0.2498410680228862,0.37785774,3.5762787e-07
Zalacsány község Önkormányzata,Issuer,15432577220,3,-0.015493826,0.2100778,-0.44675046,0.48114303,2.3832145,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44422457,0.0
Ebes Községi Önkormányzat,Issuer,15728379209,7,-0.021795668,0.23485713,-0.5502169,0.51781154,2.6685228,48,0.0,0.005372744441207349,0.0013060558709431728,0.002544529262086514,0.2206625491297024,0.41057017,-5.9604645e-08
Jászárokszállás Város Önkormányzata,Issuer,15732846216,3,0.00093970704,0.20210464,-0.4715239,0.474707,2.2865777,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.45065036,-5.9604645e-08
Vésztő Város Önkormányzata,Issuer,15725352204,7,-0.027066011,0.24903478,-0.59632653,0.56195396,2.8340983,48,0.0,0.005372744441207349,0.0013060558709431728,0.002544529262086514,0.2206625491297024,0.4146376,1.1920929e-07
Dabas Város Önkormányzata,Issuer,15730363213,3,-0.004949409,0.21317688,-0.5181217,0.4836348,2.4124708,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44900277,-5.9604645e-08
Sárosd Nagyközség Önkormányzata,Issuer,15727323207,11,0.008792257,0.3124601,-0.6976825,0.7645212,3.5364816,25,0.0,0.0018098859802956676,0.0013210811919950965,0.002544529262086514,0.17489986648865152,0.39211354,2.3841858e-07
Gönyű Község Önkormányzata,Issuer,15727756208,6,0.002912857,0.21688662,-0.56500214,0.5981438,2.4540133,25,0.0,0.016241661012806174,0.0011401317914234669,0.002544529262086514,0.22016806722689075,0.40493876,-2.9802322e-07
Budakalász Város Önkormányzata,Issuer,15730961213,1,0.027361602,0.24996163,-0.644649,0.6447951,2.8448856,35,0.0,0.0067124911442371735,0.00115916343168618,0.002544529262086514,0.19719016557952834,0.39775357,-5.9604645e-08
Kecskemét Megyei Jogú Város Önkormányzata,Issuer,15724540203,2,-0.017159013,0.21825773,-0.57519937,0.44892383,2.4769237,17,0.01410036465797929,0.05454201319831298,0.002064137103402777,0.005089058524173028,0.2607830126078301,0.36619192,-1.7881393e-07
Füzesgyarmati Városgazdálkodási és Önkormányzati Vagyonkezelő Korlátolt Felelősségű Társaság,Issuer,24212401204,5,-0.030020062,0.19508424,-0.5446755,0.38194257,2.2331054,36,0.0,0.033152482328318966,0.0011653312086282869,0.002544529262086514,0.24304267161410018,0.4257944,1.1920929e-07
Ságvár Község Önkormányzata,Issuer,15396183214,3,-0.00088737626,0.1995887,-0.5470683,0.47754294,2.2581108,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44318178,1.1920929e-07
Dunakeszi Város Önkormányzata,Issuer,15731247213,4,0.006842824,0.22979262,-0.55005956,0.67357117,2.6009593,32,0.0,0.02038099970963652,0.0011835582803433908,0.002544529262086514,0.2160527762506872,0.4224185,-2.9802322e-07
Rácalmás Város Önkormányzat,Issuer,15727206207,11,0.015491053,0.30860227,-0.7426411,0.8106069,3.4958322,25,0.0,0.0018098859802956676,0.0013210811919950965,0.002544529262086514,0.17489986648865152,0.38057306,0.0
Nemesborzova Község Önkormányzata,Issuer,15442710115,7,-0.018605087,0.24330729,-0.5929189,0.6003465,2.7607439,48,0.0,0.005372744441207349,0.0013060558709431728,0.002544529262086514,0.2206625491297024,0.4124792,1.1920929e-07
Magyar Posta Zártkörűen Működő Részvénytársaság,Issuer,10901232244,7,-0.028623635,0.25405502,-0.62070376,0.6227235,2.8924897,48,0.0,0.005372744441207349,0.0013060558709431728,0.002544529262086514,0.2206625491297024,0.4029554,1.1920929e-07
Bük Város Önkormányzata,Issuer,15733768218,5,-0.0056045987,0.19109154,-0.46247712,0.4704835,2.1628835,36,0.0025855191916098206,0.076189236852548,0.0019264455566622317,0.005089058524173028,0.2566949706074461,0.4282387,2.3841858e-07
NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Issuer,11906522241,2,0.0011249632,0.20170085,-0.51746607,0.40635866,2.28202,17,0.2097556135798183,0.17247927319483752,0.006000445233543807,0.017811704834605598,0.33676092544987146,0.32932448,-5.9604645e-08
Mór Városi Önkormányzat,Issuer,15727220207,11,0.004580527,0.29920936,-0.74282444,0.6996617,3.385564,25,0.0,0.0018098859802956676,0.0013210811919950965,0.002544529262086514,0.17489986648865152,0.39033136,0.0
Szikszó Város Önkormányzata,Issuer,15725723205,9,-0.025973203,0.28720954,-0.90236586,0.7429543,3.2626653,50,0.0,0.0003201592055920191,0.0013109774803642359,0.002544529262086514,0.18741058655221746,0.36688894,1.1920929e-07
Nyíregyháza Megyei Jogú Város Önkormányzata,Issuer,15731766215,8,-0.0017655827,0.21564375,-0.5121618,0.63984424,2.4398122,16,0.014666567455376811,0.055998336524875375,0.002007274922243137,0.005089058524173028,0.2607830126078301,0.35845935,1.1920929e-07
Budapest Főváros XI. Kerület Újbuda Önkormányzata Gazdasági Műszaki Ellátó Szolgálat,Issuer,15511018243,10,-0.005504661,0.2586025,-0.5833054,0.7392312,2.926416,37,0.0,0.0030253825859485593,0.001276759530568018,0.002544529262086514,0.2167677881963596,0.38850388,-1.7881393e-07
Zsadány Község Önkormányzata,Issuer,15344739104,5,-0.03197272,0.19518459,-0.5081009,0.39524823,2.2376924,36,0.0,0.033152482328318966,0.0011653312086282869,0.002544529262086514,0.24304267161410018,0.42411223,2.3841858e-07
Fonyód Város Önkormányzata,Issuer,15731405214,5,-0.037222892,0.19399028,-0.56210256,0.32495147,2.2347875,36,0.0,0.033152482328318966,0.0011653312086282869,0.002544529262086514,0.24304267161410018,0.42372736,1.1920929e-07
Lébény Város Önkormányzata,Issuer,15727952208,0,0.010887562,0.19392793,-0.45558944,0.4801505,2.197499,34,0.0,0.04303675452422904,0.001141825007932422,0.002544529262086514,0.23774954627949182,0.44293228,-5.9604645e-08
Telki Község Önkormányzata,Issuer,15734862213,1,0.012923953,0.27945045,-0.91752493,0.6161487,3.1649997,35,0.0,0.004238213730218013,0.0011850806320242904,0.002544529262086514,0.20268179473955647,0.3950688,1.1920929e-07
Tárnok Nagyközség Önkormányzata,Issuer,15730143213,1,0.0062438706,0.27897188,-0.7999188,0.6087965,3.1569967,35,0.0,0.004238213730218013,0.0011850806320242904,0.002544529262086514,0.20268179473955647,0.3985531,-2.3841858e-07
Országos Vízügyi Főigazgatóság,Issuer,15796019241,8,-0.0027926005,0.23447105,-0.5308009,0.5992188,2.652925,16,0.0,0.005125362421533851,0.0012090151413058489,0.002544529262086514,0.2280905397562391,0.38207567,2.3841858e-07
Hajdúböszörményi Városgazdálkodási Nonprofit Korlátolt Felelősségű Társaság,Issuer,11156624209,7,-0.026664287,0.23664573,-0.59359443,0.4822327,2.6942828,48,0.0,0.005372744441207349,0.0013060558709431728,0.002544529262086514,0.2206625491297024,0.40693042,1.1920929e-07
Debrecen Megyei Jogú Város Önkormányzata,Issuer,15735588209,8,-0.011582833,0.2120855,-0.5772224,0.55561584,2.4030492,16,0.07300496492630669,0.053534861386970244,0.0028954747003844894,0.0076335877862595426,0.2765657987332864,0.35324356,2.3841858e-07
Békéscsaba Megyei Jogú Város Önkormányzata,Issuer,15725369204,5,-0.03340887,0.19615442,-0.45382494,0.3258511,2.251192,36,0.046361230500439894,0.03852522676952631,0.002090676419672982,0.005089058524173028,0.27852586817859676,0.37540045,1.1920929e-07
Budaörs Város Önkormányzata,Issuer,15730105213,1,0.011139375,0.24239917,-0.60969853,0.576747,2.745328,35,0.0056534986231696225,0.0313317045840917,0.002766381024256907,0.0076335877862595426,0.22969023962594973,0.4068172,-3.5762787e-07
