Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
"Nemes Bau Plusz Építési, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,"14292990208,HU14292990",115,-0.041151974,0.40291515,-1.0082041,0.87562567,4.582179,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39884555,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Érseki Vagyonkezelő Központ,Buyer,18592766210,37,-0.03849853,0.40069556,-1.1985201,0.9090678,4.5542293,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.3981093,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Gömör-Bau Kereskedelmi és Szolgáltató Kft,Winner,22615217205,37,-0.041535676,0.4034104,-1.2179822,0.8716862,4.588196,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39449358,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
GLB Alkatrészgyártó és Szerelőipari Vállakozási Kft.,Winner,10314579206,72,-0.03819251,0.36842665,-0.832009,0.71360874,4.190608,5,0.0,3.214495938877607e-13,0.0016898856704989753,0.40985075,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Reményhír Intézményfenntartó Központ,Buyer,18285532204,2,0.004594974,0.3687294,-0.8524442,0.9304799,4.172021,5,0.0,9.290138785590448e-15,0.0017308775634759,0.39841697,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szent Lukács Görögkatolikus Szeretetszolgálat,Buyer,18146949215,29,-0.024546303,0.40218174,-0.95922244,1.0338837,4.558634,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39486992,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Nova Gold Team Kft,Winner,"14331899209,HU14331899",29,-0.029512357,0.40185693,-0.9401875,1.0133926,4.558736,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.38901174,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyar Természetjáró Szövetség|Pilisi Parkerdő Zártkörűen Működő Részvénytársaság|SEFAG Erdészeti és Faipari Zártkörűen Működő Részvénytársaság,Buyer,19001511242|10901816213|11227003214,14,0.011321913,0.309663,-0.6543676,0.7036662,3.5057778,16,0.0052215126320440215,0.06994756521575524,0.0024288731724006387,0.39180118,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pritamin Trend Kft,Winner,25453443242,74,-0.060604006,0.37444603,-1.21133,0.8342216,4.291501,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.3966148,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szombathelyi Református Egyházközség,Buyer,19893819118,39,-0.046135124,0.39153817,-1.0214282,0.95324033,4.4603934,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.3903832,3.5762787e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
INDA Nyugat Építőipari Kft.,Winner,23147623243,39,-0.045271832,0.3928819,-1.0311977,0.8715428,4.4743643,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.3933139,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
NOVUS-DOM Építőipari Kft,Winner,"14663868204,HU14663868",2,0.004791843,0.36204675,-0.8712332,0.8311688,4.09645,5,0.0,1.2138151275813794e-14,0.0016923460380948653,0.39464545,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szatmári Református Egyházmegye Idősek Bentlakásos Otthona,Buyer,18273421115,73,0.0019719824,0.37217665,-1.1565183,1.1777276,4.2107573,4,0.0,9.313294366646277e-16,0.001788489439068963,0.40048468,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
S17 PANDAY Építőipari és Szolgáltató Korlátolt Felelősségű Társaság,Winner,26202381212,13,0.004199313,0.3600468,-1.1655773,0.97811586,4.0737414,6,0.0,1.4931033246661049e-12,0.0016270019537274836,0.40147203,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Industria 2000 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12467666205,HU12467666",13,0.0040092887,0.35818636,-1.1616894,0.98771614,4.05267,6,0.0,1.4931033246661049e-12,0.0016270019537274836,0.40509528,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
