Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Inter-Alp Építőipari és Szolgáltató Kft,Winner,"12897654241,HU12897654",14,0.018674625,0.33820912,-0.7293363,0.7969163,3.8322282,16,0.0,0.002362892363038003,0.0015227926249223723,0.4029069,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szent Mauríciusz Monostor,Buyer,18931556219,41,-0.03286495,0.39881787,-0.96881026,0.9137984,4.5274034,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39289793,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pesti Építő Zártkörűen Működő Részvénytársaság,Winner,"14400276243,HU14400276",41,-0.028330931,0.39877743,-1.0049365,0.9285825,4.523023,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39594442,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Dunamelléki Református Egyházkerület,Buyer,19001786143,42,-0.03452723,0.31657654,-0.88840264,0.7151272,3.6028938,10,0.007952765393420894,0.21769562082525395,0.012477075677044137,0.3931405,-4.172325e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Verfor-Global Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,23841846243,42,-0.03352417,0.304756,-0.9399695,0.6951083,3.4687188,10,0.0,0.060423580747809784,0.001448226838806803,0.4050436,3.5762787e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Nyíracsádi Református Egyházközség,Buyer,19851660109,43,-0.02321972,0.37463447,-0.90809095,1.1710329,4.246639,4,0.0,5.825830974899455e-17,0.0018086453246518356,0.39871648,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szászi Ernő ev.,Winner,51689379235,43,-0.022329804,0.3773669,-0.93728346,1.201928,4.276887,4,2.6776987856636006e-05,9.426392530099251e-17,0.003345993850605895,0.40597817,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Egységes Magyarországi Izraelita Hitközség|EMIH Budapesti Hitközség,Buyer,18705016241|18596289241,44,0.0003676233,0.3799549,-1.0469577,0.91146636,4.2987013,4,0.0,5.825830974899455e-17,0.0018086453246518356,0.39716002,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
INOX-THERM Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,13992477241,44,-0.0028366596,0.37921968,-1.0715365,0.92859536,4.2905006,4,2.6776987856636006e-05,9.426392530099251e-17,0.003345993850605895,0.40503812,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Alp-Inter Magasépítő Kft.,Winner,10337233242,3,-0.03148921,0.31937364,-0.8220561,0.6059937,3.630821,18,0.0,0.000762045575851559,0.0013921078932336325,0.40426746,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyarországi Református Egyház,Buyer,19024048142,45,-0.05136936,0.37962633,-1.0376467,0.844785,4.3341246,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39875942,-2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
C.S.T. - Komplex Mérnöki és Vállalkozó Korlátolt Felelősségű Társaság,Winner,13629229241,45,-0.04677661,0.38434204,-1.0236794,0.8755973,4.38042,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.39381272,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Euró-Mádi Építőipari és Szolgáltató Korlátolt Felelősségű Társaság,Winner,14805918213,40,-0.02463305,0.36630875,-0.82623565,0.9941888,4.1536703,5,0.0,3.214495938877607e-13,0.0016898856704989753,0.4045271,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"KÁTA ÉPSZÖV Építőipari Szövetkezeti, Termelő, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,"13610458213,HU13610458,34A28776",42,-0.03956607,0.32017148,-0.93366134,0.7715503,3.6498811,10,0.0,0.060423580747809784,0.001448226838806803,0.4036623,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyar Kajak -Kenu Szövetség|Újpesti Torna Egylet,Buyer,18160037241|19803124241,46,-0.06318518,0.397571,-1.0860524,1.0127549,4.554454,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.3956501,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
ÚJLAKI ÉPÍTŐ Korlátolt Felelősségű Társaság,Winner,10823606241,46,-0.06422572,0.3969753,-1.0824447,1.0229418,4.549663,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39580354,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Ezüst Szikla Vendégház Korlátolt Felelősségű Társaság,Buyer,26520467205,47,-0.041952446,0.40528488,-1.0266869,0.886798,4.609775,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39925253,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
PM-Energo Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12540493205,HU12540493,05-09-008540",47,-0.04495206,0.40597886,-1.0105286,0.8899025,4.6211967,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39504668,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Schlosser-Bau Építőipari, Beruházó- és Kereskedelmi Kft.",Winner,"14868623206,HU 14868623-2-06",23,0.0037215836,0.35698688,-1.0682064,0.9715758,4.039065,6,0.0,3.664597418677547e-11,0.001630723409356982,0.4101219,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Baptista Szeretetszolgálat Alapítvány,Buyer,18485529142,4,-0.029506294,0.34675848,-0.83970904,0.9666106,3.9373016,16,0.00018743891499645204,3.4169710874560463e-09,0.002851841414815037,0.3923928,3.5762787e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Ép-Kontakt Építőipari Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,23580211242,4,-0.033490308,0.35427046,-0.83470607,0.99622786,4.0259824,16,0.0,1.372937704896764e-09,0.0015990889658168382,0.39000434,-2.9802322e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Nyírjákói Református Egyházközség,Buyer,19858227115,33,-0.02950233,0.3591483,-0.9997026,0.9776323,4.0769854,6,8.033096356990801e-05,6.27397512581527e-14,0.0029560429520291945,0.40038937,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Nyírségi Intézményfenntartó Központ,Buyer,18649844115,48,-0.050365478,0.38816983,-1.0717697,0.9291698,4.4284534,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39407727,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Endoterm-Generál Korlátolt Felelősségű Társaság,Winner,24090562215,48,-0.051125113,0.3951657,-1.0834657,0.9509246,4.508051,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.40430856,-2.9802322e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Viking House Plus Korlátolt Felelősségű Társaság,Winner,25322211213,42,-0.03759084,0.30934405,-0.9456191,0.73591286,3.5255742,10,0.0,0.060423580747809784,0.001448226838806803,0.4050232,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Egységes Magyarországi Izraelita Hitközség,Buyer,18705016241,44,-0.004651122,0.38187236,-1.0893235,0.9160046,4.320713,4,2.6776987856636006e-05,9.426392530099251e-17,0.003345993850605895,0.3987876,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Tóth és Társa Festő, Mázoló és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,11306410218,14,0.019633997,0.34133196,-0.7486052,0.7822508,3.8681138,16,0.0,0.002362892363038003,0.0015227926249223723,0.3960362,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Győri Egyházmegye,Buyer,19885537108,18,-0.016636066,0.32002112,-0.7579446,0.63510567,3.6255147,11,0.01648123602575946,0.008809956022318275,0.005894641084598523,0.39301574,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Bellmann Magas- és Mélyépítő Kft.,Winner,23479836208,18,-0.014135682,0.32678214,-0.8747281,0.6871498,3.700575,11,0.0,0.002448810889654899,0.0013894785688078862,0.40211895,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Borsodi Intézményfenntartó Központ,Buyer,18649930105,48,-0.049765088,0.38952222,-1.055258,0.93656015,4.442761,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39781377,3.5762787e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Száfián és Társa Építőipari és Szolgáltató Kft,Winner,13294250211,3,-0.03099642,0.31553742,-0.8091119,0.60876006,3.587082,18,0.0,0.000762045575851559,0.0013921078932336325,0.40579885,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Egyházmegyei Katolikus Iskolák Főhatósága,Buyer,18724202113,45,-0.05429288,0.38180414,-1.0501001,0.8445817,4.363076,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39733148,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Római Katolikus Egyházközség Levelek,Buyer,19860242115,33,-0.047341794,0.36043617,-0.9649873,0.9806388,4.1128945,6,0.0,3.8775298631107784e-14,0.0016441040626330333,0.39573324,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Tamaris Garden Korlátolt Felelősségű Társaság,Winner,24758329215,33,-0.043308653,0.35906664,-0.9551704,0.99184304,4.091818,6,9.371945749822602e-05,7.375500091725446e-14,0.004435831510905779,0.39805976,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Műemlékgondozó Korlátolt Felelősségű Társaság,Winner,"23181984208,HU 23181984",18,-0.0029081912,0.32884565,-0.7648915,0.72418135,3.7206097,11,0.0009371945749822602,0.0026540529860778488,0.002689941619751559,0.38531187,-2.9802322e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pécsi Egyházmegye,Buyer,19942054102,17,-0.05621646,0.3512731,-0.9090637,0.9433285,4.0247726,6,0.00010710795142654402,1.4560292984941993e-13,0.004362275171292249,0.39418316,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Debreceni Görögkatolikus Parókia,Buyer,19852386109,49,-0.08707611,0.38776875,-1.2475996,1.1820643,4.496354,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39744535,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
DRYVIT PROFI Építőipari Szolgáltató Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"24880521209,HU24880521",49,-0.08898811,0.3894898,-1.2696651,1.2132468,4.520123,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.3992204,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pro Arte et Natura Alapítvány,Buyer,18631933112,50,-0.03950638,0.4011869,-0.9195477,1.0781593,4.5608654,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.3925155,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Oreszt Bau Hause Kft.,Winner,"25872709212,hu25872709",50,-0.03738211,0.40246263,-0.94083035,1.069703,4.5729437,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.40065843,3.5762787e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Sysco-Lux Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12766769241,HU12766769",6,-0.060148478,0.36870164,-0.8685703,0.8179492,4.226526,4,0.0,9.313294366646277e-16,0.001788489439068963,0.40792462,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Ref. Egyház Lelkészi Hivatal,Buyer,19949240114,51,-0.09580186,0.4049573,-1.0970243,0.7677072,4.7080307,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.40176526,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Global Pannon Trade Kft,Winner,25756162243,51,-0.09692828,0.40281188,-1.0867282,0.72732127,4.6873794,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39783847,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
CreativEnergy Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,11690911205,4,-0.011438385,0.32931393,-0.89640677,1.0502107,3.7280087,16,0.0004819857814194481,6.049335341250768e-09,0.0025993465413152537,0.40135497,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyar Természetjáró Szövetség|VASAS Horgász Egyesület,Buyer,19001511242|19887962111,52,-0.13097161,0.38608295,-0.9145636,0.73730475,4.61252,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.38850573,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Traverz Építőipari Korlátolt Felelősségű Társaság,Winner,12723715211,52,-0.12979093,0.38876238,-0.9354043,0.80955696,4.6369905,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39663774,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Kéki Református Egyházközség,Buyer,19859400115,53,-0.03312556,0.39252415,-1.21098,0.95584935,4.45669,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39492688,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Tompa Társasház Kft,Winner,26349185215,53,-0.028739944,0.39061067,-1.1458845,1.0374489,4.431201,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.38634863,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Veresegyházi Református Egyházközség,Buyer,19829544113,54,-0.077190265,0.3974204,-1.2972356,1.0303551,4.5803237,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39799318,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Veresmester Ingatlanfejlesztő Kft.|Juko Építőipari és Szolgáltató Kft.,Winner,"14933082213,HU14933082|11963877213,11963877",54,-0.0787476,0.40190682,-1.2818714,1.0503865,4.6335163,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.3920586,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Euro Generál Zrt.|Possibuild Építőipari és Szolgáltató Kft.,Winner,"22927800208,HU22927800|25516416220,HU25516416",18,-0.0112175355,0.3075819,-0.9311388,0.65126884,3.4822052,11,0.015396768017565704,0.0207341782289762,0.0024156245631918307,0.39359948,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Mezőtúri Református Egyházközség,Buyer,19865704216,55,-0.062334847,0.37177765,-0.88281435,0.72172576,4.264897,4,2.6776987856636006e-05,9.426392530099251e-17,0.003345993850605895,0.40316087,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Hód 2000 Építőipari Kivitelező és Szolgáltató Kft,Winner,12476729242,55,-0.062260367,0.3665917,-0.8917787,0.6726798,4.206902,4,0.0,5.825830974899455e-17,0.0018086453246518356,0.40225196,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szekszárdi Fekete Gólyák Kézilabda Club,Buyer,18868096117,17,-0.06078515,0.3530161,-0.8019671,0.95344996,4.052696,6,0.0,5.3294371190331236e-14,0.001684841795797174,0.3999481,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
PSN Építőipari Kft.,Winner,12621754217,17,-0.057144154,0.34816417,-0.8385004,0.9930404,3.9917314,6,5.355397571327201e-05,1.0295681905715403e-13,0.003054691429771398,0.39627096,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Renovit Építőipari Korlátolt Felelősségű Társaság,Winner,"10787133242,HU10787133",16,-0.016298968,0.2856658,-0.78273773,0.6422609,3.237196,17,0.0,0.1800962216958613,0.0013437106153917563,0.4122494,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyar Rögbi Szövetség,Buyer,18160178141,56,-0.045930408,0.3913711,-1.1694446,0.9349055,4.458246,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.40250397,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
EUROGREEN-TISZAFA Kertkultúra Kertészeti és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12106488242,HU12106488",56,-0.046074055,0.38144845,-1.1162772,0.9204527,4.346964,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.3959077,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Nyírségi Magasépítő kft.,Winner,23960929215,14,-0.021060152,0.3272574,-0.9087644,0.689196,3.7101533,16,0.0,0.028943476871671373,0.0014238134221809828,0.3980707,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
DPASE Sportszolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,Buyer,23930843207,57,-0.053427346,0.3741064,-1.1378624,0.78107524,4.275476,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39617652,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pharos 95 Sportpályaépítő Kft.,Winner,"12073601213,HU12073601",57,-0.056052707,0.37985668,-1.1595919,0.7215193,4.3441253,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.3988575,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Dunaújváros Pálhalma Agrospeciál Sportegyesület,Buyer,18488175107,57,-0.054412942,0.37558937,-1.1162069,0.79345196,4.29367,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39525273,-2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Karolina Óvoda, Általános Iskola, Gimnázium, AMI és Kollégium",Buyer,19085555206,58,-0.04708928,0.38059005,-1.0606494,0.98662895,4.338718,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.40396446,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Mester-BauHolding Kft,Winner,"14115176206,HU14115176",58,-0.04473082,0.38935348,-1.0672834,1.0163711,4.4340067,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.39657718,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Esély -Budapest /fővárosi gyermek és ifjúsági Alapítvány,Buyer,19022888241,59,-0.053542577,0.40403703,-1.1493067,0.97065324,4.6111197,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39431244,4.7683716e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Foxtherm Asztalosipari Kft,Winner,"13257707243,HU13257707,01-09-726153",59,-0.052912045,0.4048513,-1.1490554,0.96835226,4.619323,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39237967,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Baktalórántházi Református Egyházközség,Buyer,19857927115,43,-0.03095658,0.3768531,-0.89838994,1.1580967,4.277967,4,2.6776987856636006e-05,9.426392530099251e-17,0.003345993850605895,0.40396786,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"NNK Környezetgazdálkodási, Számítástechnikai Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,11976738209,43,-0.03061464,0.37505308,-0.9323653,1.1780359,4.2573543,4,0.0,5.825830974899455e-17,0.0018086453246518356,0.39689744,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Hajdúnánási Református Egyházközség,Buyer,19851598209,60,-0.056653585,0.403047,-1.2308105,1.1045237,4.6047835,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39399254,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Sandhal Kft,Winner,"14999824215,HUOCCSZ.15-09-0751191",60,-0.061326034,0.40192172,-1.2174557,1.1565001,4.5998535,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39594847,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
FK System Építő Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,13941770208,3,-0.02375641,0.33710143,-0.9337561,0.7688971,3.8233259,18,0.0,0.00010775255524358496,0.0014752621326610139,0.39866653,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Középület és Lakásépítő Zrt.,Winner,10601633205,14,-0.0139950365,0.32080847,-0.78103846,0.7735028,3.6329856,16,0.0018476121621078844,0.03157845396493549,0.0026489372955468384,0.3991976,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
B.Szűcs Restaurátori Korlátolt Felelősségű Társaság,Winner,"22662776206,HU22662776",14,-0.017044254,0.32818002,-0.8711862,0.7082508,3.7179372,16,0.0,0.028943476871671373,0.0014238134221809828,0.39656475,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Madárfészek Ökölvívó Akadémia Alapítvány,Buyer,20842642241,61,-0.08735174,0.37574553,-1.296275,1.021348,4.364439,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.39506868,-4.172325e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"BÓTAKŐ Gyártó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,11671110219,61,-0.08451781,0.3716495,-1.2825423,1.0062983,4.3120904,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39931858,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Fons Sacer belső egyházi jogi személy,Buyer,18272839241,62,-0.06500442,0.37798333,-1.4242632,0.7973159,4.339172,4,4.0165481784954006e-05,1.613109902887636e-15,0.004943810033308575,0.40036285,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
